行號,名稱,縣市,問題類別,問題描述,原始值,建議修正
2,五峰活動中心,新竹縣,空值,「村里」欄位為空,,需補填
2,五峰活動中心,新竹縣,空值,「避難收容處所地址」欄位為空,,需補填
5,烏坵鄉小坵村活動中心,金門縣烏坵鄉,空值,「適用災害類別」欄位為空,,需補填
6,金門縣烏坵鄉公所大廳,金門縣烏坵鄉,空值,「適用災害類別」欄位為空,,需補填
11,東莒老人活動中心,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
12,福正風景管理處,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
13,莒光指揮部國軍文康中心,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
14,田沃老人活動中心,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
15,青帆老人活動中心,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
16,敬恆國中小禮堂,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
17,東莒國小綜合教室,連江縣莒光鄉,空值,「適用災害類別」欄位為空,,需補填
19,上大社區活動中心,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
20,武威社區活動中心,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
21,塔腳社區活動中心,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
22,廣福社區活動中心,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
23,草漯國民小學,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
24,上大國民小學,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
25,崙坪國民小學,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
26,富林國民小學,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
27,樹林國民小學,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
28,觀音區公所綠資源中心,桃園市觀音區,空值,「適用災害類別」欄位為空,,需補填
29,空軍第737戰術戰鬥機聯隊,臺東縣臺東市,空值,「村里」欄位為空,,需補填
29,空軍第737戰術戰鬥機聯隊,臺東縣臺東市,空值,「適用災害類別」欄位為空,,需補填
79,介達國小 Jieda Elementary School,臺東縣金峰鄉,空值,「適用災害類別」欄位為空,,需補填
96,響林活動中心,屏東縣滿州鄉,空值,「村里」欄位為空,,需補填
127,南田基督教會,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
128,森永活動中心,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
129,南田活動中心,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
130,安朔基督教會,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
131,安朔集會所,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
132,安朔國小,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
133,達仁鄉公所禮堂,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
134,大南國民小學,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
159,臺東縣立安朔國小新化分校,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
161,屏東市復興公園,屏東縣屏東市,空值,「適用災害類別」欄位為空,,需補填
177,土?天主堂,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
178,臺東縣立土?國小,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
179,達仁鄉立土?托兒所,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
192,臺東縣台?國民小學,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
193,台?活動中心,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
196,台?基督教會,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
197,啦里吧活動中心,臺東縣達仁鄉,空值,「適用災害類別」欄位為空,,需補填
226,賓茂國小 Binmao Elementary School,臺東縣金峰鄉,空值,「適用災害類別」欄位為空,,需補填
306,高雄市政府社會局無障礙之家,高雄市前鎮區,空值,「村里」欄位為空,,需補填
315,高雄市立鳳翔國民中學,高雄市鳳山區,空值,「適用災害類別」欄位為空,,需補填
336,金湯營區,高雄市鳳山區,空值,「村里」欄位為空,,需補填
337,中正營區,高雄市鳳山區,空值,「村里」欄位為空,,需補填
379,高雄市立忠孝國民中學,高雄市鳳山區,空值,「適用災害類別」欄位為空,,需補填
418,鳳山街友服務中心,高雄市鳳山區,空值,「村里」欄位為空,,需補填
586,知本金聯世紀酒店,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
597,臺東縣農會東遊季溫泉渡假村,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
598,溫泉國民小學,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
599,溫泉村活動中心,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
601,元新溫泉飯店,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
609,亞莊酒店,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
659,國立臺東大學,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
696,東興村活動中心,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
703,財團法人臺東縣私立仁愛之家,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
705,行政院國軍退除役官兵輔導委員會馬蘭榮譽國民之家,臺東縣臺東市,空值,「適用災害類別」欄位為空,,需補填
709,利嘉村活動中心,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
717,太平村活動中心,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
733,太平國民小學,臺東縣卑南鄉,空值,「適用災害類別」欄位為空,,需補填
