名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
五峰活動中心,新竹縣,24.386,121.073,True,室內,三義,28,31.75,Normal
金門縣烈嶼鄉林湖村辦公處,金門縣烈嶼鄉,24.428328,118.248571,True,室內,金門,53,6.46,Normal
南坑村集會所暨南外社區活動中心,新竹縣北埔鄉,24.6725,121.0561,True,室內,竹東,31,8.3,Normal
烏坵鄉小坵村活動中心,金門縣烏坵鄉,24.98,119.47,True,室內,金門,53,131.87,Normal
金門縣烏坵鄉公所大廳,金門縣烏坵鄉,24.988739,119.453178,True,室內,金門,53,130.81,Normal
霞雲社區活動中心,桃園市復興區,24.814018,121.406238,True,室內,新北（樹林）,50,15.19,Normal
澤仁里辦公處,桃園市復興區,24.820601,121.351987,True,室內,龍潭,32,14.5,Normal
奎輝里活動中心,桃園市復興區,24.797047,121.334302,True,室內,龍潭,32,14.03,Normal
高義教會,桃園市復興區,24.706112,121.354462,True,室內,龍潭,32,22.41,Normal
東莒老人活動中心,連江縣莒光鄉,25.956666,119.977206,True,室內,馬祖,63,22.05,Normal
福正風景管理處,連江縣莒光鄉,25.961848,119.985351,True,室內,馬祖,63,21.58,Normal
莒光指揮部國軍文康中心,連江縣莒光鄉,25.97828,119.932125,True,室內,馬祖,63,19.62,Normal
田沃老人活動中心,連江縣莒光鄉,25.972438,119.944922,True,室內,馬祖,63,20.17,Normal
青帆老人活動中心,連江縣莒光鄉,25.969995,119.933712,True,室內,馬祖,63,20.52,Normal
敬恆國中小禮堂,連江縣莒光鄉,25.970819,119.933934,True,室內,馬祖,63,20.43,Normal
東莒國小綜合教室,連江縣莒光鄉,25.957484,119.97711,True,室內,馬祖,63,21.96,Normal
石牌社區活動中心,桃園市新屋區,26.0,121.051297,True,室內,富貴角,60,92.09,Normal
上大社區活動中心,桃園市觀音區,24.978234,121.147333,True,室內,平鎮,36,6.37,Normal
武威社區活動中心,桃園市觀音區,25.028242,121.073317,True,室內,觀音,37,1.26,Normal
塔腳社區活動中心,桃園市觀音區,25.049298,121.154708,True,室內,大園,36,4.99,Normal
廣福社區活動中心,桃園市觀音區,25.019018,121.153383,True,室內,大園,36,6.8,Normal
草漯國民小學,桃園市觀音區,25.045941,121.142939,True,室內,觀音,37,6.16,Normal
上大國民小學,桃園市觀音區,24.979129,121.146755,True,室內,平鎮,36,6.47,Normal
崙坪國民小學,桃園市觀音區,24.999596,121.162676,True,室內,平鎮,36,6.67,Normal
富林國民小學,桃園市觀音區,25.062195,121.1285,True,室內,觀音,37,5.47,Normal
樹林國民小學,桃園市觀音區,25.062176,121.128468,True,室內,觀音,37,5.47,Normal
觀音區公所綠資源中心,桃園市觀音區,25.028281,121.083597,True,室內,觀音,37,0.81,Normal
高雄市前鎮區光華國民小學,高雄市前鎮區,22.615,120.32,True,室內,復興,83,1.08,Normal
大武國小,臺東縣大武鄉,22.365009,120.905497,True,室內,屏東（枋山）,77,28.58,Normal
尖山國小操場,苗栗縣頭份市,24.64686,120.894048,False,室外,頭份,29,5.58,Normal
